report_date,country_name,cases,deaths
2014-03-25,Guinea,86,60
2014-03-26,Guinea,86,62
2014-03-27,Guinea,103,66
2014-03-30,Guinea,112,70
2014-04-01,Guinea,122,80
2014-04-02,Guinea,127,83
2014-04-05,Guinea,143,86
2014-04-07,Guinea,151,95
2014-04-14,Guinea,159,106
2014-04-16,Guinea,197,122
2014-04-19,Guinea,203,129
2014-04-22,Guinea,208,136
2014-04-25,Guinea,218,141
2014-05-02,Guinea,226,149
2014-05-05,Guinea,231,155
2014-05-07,Guinea,235,157
2014-05-09,Guinea,236,158
2014-05-10,Guinea,233,157
2014-05-15,Guinea,248,171
2014-05-18,Guinea,253,176
2014-05-23,Guinea,258,174
2014-05-27,Guinea,281,186
2014-05-30,Guinea,291,193
2014-06-01,Guinea,328,208
2014-06-05,Guinea,344,215
2014-06-07,Guinea,351,226
2014-06-17,Guinea,398,264
2014-06-23,Guinea,390,270
2014-07-01,Guinea,413,303
2014-07-03,Guinea,412,305
2014-07-06,Guinea,408,307
2014-07-10,Guinea,409,309
2014-07-14,Guinea,406,304
2014-07-17,Guinea,411,310
2014-07-18,Guinea,410,310
2014-07-23,Guinea,415,314
2014-07-25,Guinea,427,319
2014-07-29,Guinea,460,339
2014-08-04,Guinea,485,358
2014-08-06,Guinea,495,367
2014-08-11,Guinea,506,373
2014-08-13,Guinea,510,377
2014-08-15,Guinea,519,380
2014-08-19,Guinea,543,394
2014-08-20,Guinea,579,396
2014-03-30,Liberia,7,0
2014-04-02,Liberia,8,5
2014-04-05,Liberia,18,7
2014-04-07,Liberia,16,10
2014-04-14,Liberia,26,13
2014-04-16,Liberia,27,13
2014-04-22,Liberia,34,6
2014-04-25,Liberia,35,6
2014-05-02,Liberia,13,11
2014-05-10,Liberia,12,11
2014-06-17,Liberia,33,24
2014-06-23,Liberia,51,34
2014-07-01,Liberia,107,65
2014-07-03,Liberia,115,75
2014-07-06,Liberia,131,84
2014-07-10,Liberia,142,88
2014-07-14,Liberia,172,105
2014-07-17,Liberia,174,106
2014-07-18,Liberia,196,116
2014-07-23,Liberia,224,127
2014-07-25,Liberia,249,129
2014-07-29,Liberia,329,156
2014-08-04,Liberia,468,255
2014-08-06,Liberia,554,294
2014-08-11,Liberia,599,323
2014-08-13,Liberia,670,355
2014-08-15,Liberia,786,413
2014-08-19,Liberia,834,466
2014-08-20,Liberia,972,576
2014-05-26,Sierra Leone,0,4
2014-05-27,Sierra Leone,16,5
2014-05-30,Sierra Leone,50,6
2014-06-01,Sierra Leone,79,6
2014-06-05,Sierra Leone,81,6
2014-06-07,Sierra Leone,89,7
2014-06-17,Sierra Leone,97,49
2014-06-23,Sierra Leone,158,34
2014-07-01,Sierra Leone,239,99
2014-07-03,Sierra Leone,252,101
2014-07-06,Sierra Leone,305,127
2014-07-10,Sierra Leone,337,142
2014-07-14,Sierra Leone,386,194
2014-07-17,Sierra Leone,397,197
2014-07-18,Sierra Leone,442,206
2014-07-23,Sierra Leone,454,219
2014-07-25,Sierra Leone,525,224
2014-07-29,Sierra Leone,533,233
2014-08-04,Sierra Leone,646,273
2014-08-06,Sierra Leone,717,298
2014-08-11,Sierra Leone,730,315
2014-08-13,Sierra Leone,783,334
2014-08-15,Sierra Leone,810,348
2014-08-19,Sierra Leone,848,365
2014-08-20,Sierra Leone,907,374
2014-07-29,Nigeria,1,1
2014-08-04,Nigeria,4,1
2014-08-06,Nigeria,13,2
2014-08-11,Nigeria,13,2
2014-08-13,Nigeria,12,3
2014-08-15,Nigeria,12,4
2014-08-19,Nigeria,15,4
2014-08-20,Nigeria,15,4
